REAL - Entrada,REAL - Saída,tpv_usina,cum_avg
2021-01-02,2021-01-02 07:30:00,2.22,2.2200000000000006
2021-01-02,2021-01-02 08:30:00,2.99,2.2200000000000006
2021-01-02,2021-01-02 12:00:00,2.71,2.605
2021-01-02,2021-01-02 13:00:00,1.51,2.64
2021-01-02,2021-01-02 14:00:00,1.965,2.3575
2021-01-02,2021-01-02 14:30:00,1.73,2.279
2021-01-02,2021-01-02 15:30:00,1.93,2.1875
2021-01-02,2021-01-02 17:00:00,2.6950000000000003,2.150714285714286
2021-01-02,2021-01-02 18:00:00,3.54,2.21875
2021-01-02,2021-01-02 18:30:00,3.87,2.3655555555555554
2021-01-04,2021-01-04 07:30:00,1.0150000000000001,1.0150000000000001
2021-01-04,2021-01-04 08:00:00,1.33,1.0150000000000001
2021-01-04,2021-01-04 08:30:00,2.1733333333333333,1.1725
2021-01-04,2021-01-04 09:00:00,1.4533333333333334,1.5061111111111112
2021-01-04,2021-01-04 09:30:00,1.6179999999999999,1.492916666666667
2021-01-04,2021-01-04 10:00:00,2.225,1.5179333333333336
2021-01-04,2021-01-04 10:30:00,2.028,1.6357777777777776
2021-01-04,2021-01-04 11:00:00,2.5633333333333335,1.6918095238095237
2021-01-04,2021-01-04 11:30:00,2.69,1.80075
2021-01-04,2021-01-04 12:00:00,2.0999999999999996,1.8995555555555552
2021-01-04,2021-01-04 12:30:00,2.3085714285714287,1.9195999999999998
2021-01-04,2021-01-04 13:00:00,3.67,1.9549610389610392
2021-01-04,2021-01-04 13:30:00,4.13,2.0978809523809523
2021-01-04,2021-01-04 14:00:00,4.35,2.254197802197802
2021-01-04,2021-01-04 14:30:00,4.13,2.403897959183673
2021-01-04,2021-01-04 15:00:00,3.42,2.518971428571428
2021-01-04,2021-01-04 15:30:00,3.93,2.575285714285714
2021-01-04,2021-01-04 16:30:00,3.7433333333333336,2.654974789915966
2021-01-04,2021-01-04 17:00:00,3.67,2.7154391534391533
2021-01-04,2021-01-04 17:30:00,6.449999999999999,2.7656791979949875
2021-01-04,2021-01-04 18:00:00,3.7350000000000003,2.9498952380952383
2021-01-04,2021-01-04 18:30:00,2.295,2.9872811791383223
2021-01-04,2021-01-04 19:00:00,4.883333333333334,2.9558138528138524
2021-01-04,2021-01-04 19:30:00,6.445,3.039619047619048
2021-01-04,2021-01-04 20:00:00,1.47,3.181509920634921
2021-01-04,2021-01-04 20:30:00,7.3175,3.113049523809524
2021-01-04,2021-01-04 21:00:00,5.31,3.2747591575091572
2021-01-04,2021-01-04 21:30:00,4.7,3.3501384479717813
2021-01-04,2021-01-04 22:00:00,4.914,3.3983477891156464
2021-01-04,2021-01-04 22:30:00,6.59,3.4506116584564857
2021-01-05,2021-01-05 07:30:00,2.08,2.08
2021-01-05,2021-01-05 08:00:00,2.0233333333333334,2.08
2021-01-05,2021-01-05 08:30:00,2.302,2.0516666666666667
2021-01-05,2021-01-05 09:00:00,2.9699999999999998,2.135111111111111
2021-01-05,2021-01-05 09:30:00,2.2125,2.343833333333333
2021-01-05,2021-01-05 10:00:00,3.2399999999999998,2.3175666666666666
2021-01-05,2021-01-05 10:30:00,2.31,2.4713055555555554
2021-01-05,2021-01-05 11:00:00,3.7325,2.4482619047619045
2021-01-05,2021-01-05 11:30:00,4.38,2.608791666666667
2021-01-05,2021-01-05 12:00:00,3.49,2.805592592592592
2021-01-05,2021-01-05 12:30:00,5.113333333333333,2.8740333333333337
2021-01-05,2021-01-05 13:00:00,4.38125,3.07760606060606
2021-01-05,2021-01-05 13:30:00,4.07625,3.1862430555555554
2021-01-05,2021-01-05 14:00:00,3.67,3.2547051282051283
2021-01-05,2021-01-05 14:30:00,4.609999999999999,3.2843690476190477
2021-01-05,2021-01-05 15:00:00,2.26,3.3727444444444443
2021-01-05,2021-01-05 15:30:00,2.17,3.3031979166666665
2021-01-05,2021-01-05 16:00:00,2.605,3.2365392156862747
2021-01-05,2021-01-05 16:30:00,3.895,3.2014537037037036
2021-01-05,2021-01-05 17:00:00,3.8019999999999996,3.237956140350877
2021-01-05,2021-01-05 17:30:00,3.9250000000000003,3.2661583333333333
2021-01-05,2021-01-05 18:00:00,4.4,3.297531746031746
2021-01-05,2021-01-05 18:30:00,5.372,3.3476439393939397
2021-01-05,2021-01-05 19:00:00,6.49,3.435659420289855
2021-01-05,2021-01-05 19:30:00,5.748333333333334,3.562923611111111
2021-01-05,2021-01-05 20:00:00,4.155,3.65034
2021-01-05,2021-01-05 20:30:00,5.081111111111111,3.66975
2021-01-05,2021-01-05 21:00:00,5.048571428571429,3.7220226337448556
